"","course_name_830","prior_knowl_percent","awake_rating","attendance_percent","on_time_percentage","teach_perf_rating_830","sleep_total_830","transport_method_830","commute_time_830","wake_time_830","gpa_830","class_avg_gpa_830","learn_effectiveness_830","course_name_n830","prior_knowl_percent_n830","start_time_n830","also_had_830class_n830","awake_rating_n830","attendance_percent_n830","on_time_percent_n830","teach_perf_rating_n830","sleep_total_n830","transport_method_n830","commute_time_n830","wake_time_n830","gpa_n830","class_avg_gpa_n830","learn_effectiveness_n830"
"1","STAT 311",10,3,100,95,4,6,"pub_transport",75,2018-02-26 06:00:00,3.8,2.8,4,"INFO 470",30,2018-02-26 10:30:00,"No",4,70,70,4,6,"pub_transport",75,2018-02-26 07:30:00,3.9,3.5,4
"2","MUSIC 160",0,4,65,95,5,7,"Walking",6,2018-02-26 07:30:00,3.5,NA,4,"AFRAM 101",5,2018-02-26 11:30:00,"No",5,100,100,5,7,"Walking",8,2018-02-26 09:30:00,4,NA,5
"3","INFO 481",20,4,100,75,4,6,"Walking",15,2018-02-26 07:45:00,4,NA,3,"INFO 470",20,2018-02-26 10:30:00,"Yes",4,100,90,4,7,"Walking",15,2018-02-26 09:30:00,4,NA,4
"4","Math 308",25,3,90,100,5,6,"Walking",20,2018-02-26 07:00:00,3.9,NA,5,"INFO 470",25,2018-02-26 10:30:00,"No",4,80,100,4,6,"Walking",15,2018-02-26 07:00:00,4,NA,4
"5","INFO 340",0,3,100,80,5,5,"pub_transport",45,2018-02-26 06:30:00,4,NA,4,"INFO 343",0,2018-02-26 10:30:00,"No",5,100,95,4,6,"pub_transport",45,2018-02-26 08:30:00,4,NA,5
"6","MATH 124",50,2,99,100,1,6,"Walking",10,2018-02-26 07:30:00,2.4,3.1,1,"ENTRE 370",0,2018-02-26 03:30:00,"No",4,90,85,4,8,"Walking",7,2018-02-26 11:00:00,3,NA,3
"7","PSYCH 202",20,4,100,100,5,8,"Walking",10,2018-02-26 07:00:00,3.1,NA,4,"BIOL 180",40,2018-02-26 01:30:00,"No",4,70,100,3,10,"Walking",10,2018-02-26 10:00:00,1.7,NA,2
"8","INFO 340",0,4,85,70,2,5,"Walking",20,2018-02-26 07:50:00,3.9,NA,3,"CSE 373",0,2018-02-26 02:30:00,"Yes",4,50,50,4,5,"Walking",15,2018-02-26 07:50:00,3.8,NA,4
"9","FISH 270",70,5,100,98,4,7,"Bike, Scooter, Unicycle, Skateboard, etc.",20,2018-02-26 06:30:00,3.8,NA,4,"HON 221",70,2018-02-26 10:30:00,"Yes",5,100,98,4,7,"Bike, Scooter, Unicycle, Skateboard, etc.",20,2018-02-26 06:30:00,4,NA,5
"10","CESG 502 ",10,4,90,60,4,6,"pub_transport",8,2018-02-26 07:45:00,3.7,3.4,4,"CESG 507",0,2018-02-26 01:30:00,"Yes",3,95,95,5,6,"pub_transport",8,2018-02-26 07:45:00,3.5,3.4,4
"11","BIO A 201",30,4,80,70,4,6,"pub_transport",55,2018-02-26 06:30:00,3.2,NA,2,"LING 200",10,2018-02-26 03:30:00,"No",2,90,90,4,8,"pub_transport",55,2018-02-26 09:30:00,3.8,NA,5
"12","INFO 343",10,2,25,100,4,8,"Walking",15,2018-02-26 08:00:00,4,NA,3,"INFO 201",5,2018-02-26 01:20:00,"No",4,90,100,5,8,"Walking",15,2018-02-26 10:00:00,4,NA,5
"13","NUTR 406",20,4,100,100,4,6,"pub_transport",15,2018-02-26 07:45:00,3.8,NA,3,"COM 200",10,2018-02-26 03:30:00,"No",3,100,100,4,7,"pub_transport",15,2018-02-26 10:00:00,3.9,NA,3
"14","CEE 220",20,5,85,80,5,7,"pub_transport",25,2018-02-26 06:01:00,3.5,2.8,5,"ME 230",30,2018-02-26 12:30:00,"Yes",4,90,90,2,7,"Walking",10,2018-02-26 06:01:00,3.1,2.8,1
"15","CLAS 101",20,4,70,90,5,6,"pub_transport",40,2018-02-26 06:30:00,3.5,NA,3,"BIMD 233",10,2018-02-26 09:30:00,"No",4,95,95,5,8,"pub_transport",40,2018-02-26 08:15:00,3.8,NA,5
"16","MATH 111",30,3,100,100,3,6,"Driving",15,2018-02-26 07:00:00,3.9,NA,3,"STAT 100",20,2018-02-26 01:30:00,"No",5,100,100,4,7,"Driving",15,2018-02-26 08:00:00,3.9,NA,4
"17","CHEM 120",20,3,70,65,2,7.5,"Walking",15,2018-02-26 07:30:00,3.1,2.9,3,"GWSS 357",25,2018-02-26 09:30:00,"Yes",5,95,100,5,7.5,"Walking",15,2018-02-26 07:30:00,3.5,NA,4
"18","LSJ 366",20,3,85,60,5,5,"Walking",20,2018-02-26 06:30:00,3.5,NA,3,"LSJ 363",20,2018-02-26 10:30:00,"No",4,100,100,5,4,"Walking",7,2018-02-26 09:00:00,4,NA,4
"19","CLAS 205",3,4,100,99,4,6,"pub_transport",20,2018-02-26 06:50:00,3.9,NA,5,"BIOL 200",50,2018-02-26 10:30:00,"Yes",4,100,100,5,6.5,"Walking",15,2018-02-26 07:30:00,2.9,NA,4
"20","INFO 360",25,4,100,100,3,5,"pub_transport",60,2018-02-26 05:30:00,3.9,NA,3,"INFO 340",10,2018-02-26 01:00:00,"No",4,100,100,5,7,"pub_transport",45,2018-02-26 09:00:00,3.9,NA,5
"21","DANCE 242",25,4,100,100,4,5,"Walking",25,2018-02-26 07:30:00,4,NA,4,"DANCE 202",25,2018-02-26 10:30:00,"Yes",4,95,100,5,5,"Walking",30,2018-02-26 07:30:00,4,NA,4
"22","CHEM 110",10,3,40,90,4,4,"pub_transport",40,2018-02-26 07:00:00,3.9,NA,2,"CHEM 142",20,2018-02-26 09:30:00,"No",4,60,85,4,4,"pub_transport",40,2018-02-26 08:00:00,3.9,3.5,4
"23","JAPAN 311",0,5,100,100,5,7,"Walking",15,2018-02-26 06:30:00,3.5,3.8,5,"CSE 311",0,2018-02-26 02:30:00,"Yes",3,100,100,5,7,"Walking",5,2018-02-26 06:30:00,3.1,NA,1
"24","EE 233",25,4,100,100,4,7,"pub_transport",50,2018-02-26 06:00:00,3.2,NA,4,"EE 235",10,2018-02-26 10:30:00,"Yes",3,100,100,3,7,"pub_transport",50,2018-02-26 06:00:00,3.2,NA,3
"25","PSYCH 322",10,3,95,90,4,5,"Walking",20,2018-02-26 07:45:00,4,NA,4,"PSYCH 436",25,2018-02-26 09:30:00,"No",2,100,100,2,6,"Walking",20,2018-02-26 08:45:00,4,NA,2
"26","ECFS 200",50,3,100,100,5,7,"pub_transport",60,2018-02-26 06:30:00,4,NA,4,"NUTR 200",30,2018-02-26 04:30:00,"Yes",3,85,90,4,7,"pub_transport",60,2018-02-26 11:15:00,3.8,NA,3
"27","ME 374",15,1,75,75,3,5,"Walking",10,2018-02-26 07:15:00,3.2,3.5,2,"ME 331",10,2018-02-26 10:30:00,"No",4,80,100,3,7,"pub_transport",20,2018-02-26 09:15:00,3.2,3.4,3
"28","ANTH 100",0,2,100,80,5,6,"Driving",5,2018-02-26 06:30:00,3.7,NA,2,"BIOL 204",30,2018-02-26 02:30:00,"No",5,100,90,4,9,"pub_transport",7,2018-02-26 08:30:00,3,NA,3
"29","CHEM 110",50,1,2,2,3,6,"pub_transport",45,2018-02-26 06:30:00,3.5,NA,1,"SPHSC 425",50,2018-02-26 10:30:00,"No",5,50,100,5,8,"pub_transport",35,2018-02-26 08:00:00,3,NA,4
"30","CHEM 142",0,5,100,100,1,8,"Driving",35,2018-02-26 06:50:00,4,2.8,2,"HCDE 498",70,2018-02-26 10:30:00,"Yes",5,50,80,2,6,"Walking",10,2018-02-26 09:30:00,3.5,NA,2
"31","ENVIR 250",70,3,98,90,5,6,"Bike, Scooter, Unicycle, Skateboard, etc.",10,2018-02-26 07:30:00,3.4,NA,3,"ENVIR 200",70,2018-02-26 09:30:00,"Yes",5,100,80,5,7,"Bike, Scooter, Unicycle, Skateboard, etc.",10,2018-02-26 08:00:00,3.8,NA,4
"32","INFO 343",5,3,95,90,4,7,"pub_transport",20,2018-02-26 06:50:00,3.5,NA,4,"INFO 470",15,2018-02-26 10:30:00,"No",4,75,100,3,7,"pub_transport",20,2018-02-26 09:00:00,3.5,NA,2
"33","INFO 370",40,5,90,100,4,5,"pub_transport",60,2018-02-26 06:00:00,3.6,NA,3,"INFO 340",10,2018-02-26 01:30:00,"No",5,100,100,5,6,"pub_transport",60,2018-02-26 07:00:00,4,NA,5
"34","INFO 340",0,4,100,95,2,5,"pub_transport",40,2018-02-26 06:00:00,3.5,NA,1,"INFO 343",5,2018-02-26 10:30:00,"Yes",5,100,100,5,5,"pub_transport",40,2018-02-26 06:00:00,3.7,NA,5
"35","PHYS 122",25,2,25,90,5,6,"pub_transport",60,2018-02-26 06:10:00,2.5,NA,2,"PHYS 121",50,2018-02-26 09:30:00,"No",4,95,95,5,7,"pub_transport",50,2018-02-26 07:00:00,2.9,NA,5
"36","PHIL 120",0,3,85,100,3,8,"pub_transport",75,2018-02-26 07:10:00,3.2,3.5,3,"BIOL 118",0,2018-02-26 01:30:00,"Yes",4,100,100,4,8,"pub_transport",75,2018-02-26 07:10:00,3.3,2.7,4
"37","PHYS 123",15,5,15,15,3,3,"Driving",45,2018-02-26 07:10:00,3.8,2.9,2,"PHYS 122",30,2018-02-26 02:30:00,"No",5,80,70,2,4,"Driving",45,2018-02-26 08:00:00,3.5,2.8,3
"38","INFO 343",0,2,50,50,2,4,"Walking",20,2018-02-26 07:00:00,2.1,NA,2,"INFO 365",40,2018-02-26 05:30:00,"No",5,100,100,5,10,"Walking",20,2018-02-26 11:00:00,4,4,5
"39","CHEM 237",0,2,60,100,1,6,"Walking",17,2018-02-26 07:55:00,2.6,2.6,1,"ANTH 479",0,2018-02-26 03:30:00,"No",4,90,100,5,9,"Walking",12,2018-02-26 09:40:00,4,3.2,5
"40","CEP 302",75,3,100,100,1,5.5,"Driving",30,2018-02-26 06:15:00,3,NA,1,"CEP 302",75,2018-02-26 08:30:00,"No",3,100,100,1,5.5,"Driving",30,2018-02-26 06:15:00,3,NA,1
"41","INFO 481",15,3,100,50,3,8,"pub_transport",45,2018-02-26 07:00:00,3.8,NA,4,"INFO 470",50,2018-02-26 01:30:00,"Yes",4,100,100,4,8,"pub_transport",45,2018-02-26 07:30:00,4,NA,4
"42","PSYCH 202",15,4,70,100,5,8,"Walking",15,2018-02-26 06:30:00,4,NA,4,"SPAN 101",25,2018-02-26 10:30:00,"No",5,100,100,5,6,"Walking",15,2018-02-26 06:23:00,4,NA,5
"43","PSYCH 355",20,3,75,90,4,7,"pub_transport",15,2018-02-26 07:05:00,3.9,NA,3,"ANTH 101",35,2018-02-26 02:30:00,"No",3,70,100,2,7,"Walking",15,2018-02-26 08:30:00,4,NA,4
"44","INFO 370",60,2,90,80,3,4,"pub_transport",80,2018-02-26 06:00:00,3.1,3.5,2,"INFO 201",80,2018-02-26 11:30:00,"No",4,100,95,4,6,"pub_transport",80,2018-02-26 08:00:00,4,3.7,4
"45","PSYCH 421",10,4,70,55,5,6,"pub_transport",50,2018-02-26 06:30:00,4,NA,4,"PSYCH 357",20,2018-02-26 11:30:00,"No",5,100,100,5,7,"pub_transport",50,2018-02-26 09:30:00,4,NA,5
"46","MATH 124",60,2,100,100,2,4,"Walking",20,2018-02-26 07:30:00,3.6,3,3,"MATH 309",10,2018-02-26 11:30:00,"No",4,100,100,5,7,"Walking",20,2018-02-26 09:00:00,3.3,3,4
"47","IMT 535",10,4,100,100,5,7,"Walking",15,2018-02-26 06:30:00,4,NA,4,"HCDE 517",20,2018-02-26 06:00:00,"No",4,75,100,4,6,"Walking",15,2018-02-26 07:15:00,3.8,NA,4
"48","INFO 360",50,3,95,85,3,6,"Walking",17,2018-02-26 07:30:00,3.9,NA,2,"INFO 445",30,2018-02-26 03:30:00,"Yes",3,100,100,5,7,"Walking",10,2018-02-26 09:30:00,3.9,3.5,4
"49","CEP 461",0,4,95,100,5,4,"pub_transport",20,2018-02-26 07:50:00,3.9,NA,5,"ESRM 400",20,2018-02-26 09:30:00,"Yes",5,85,100,4,5,"pub_transport",18,2018-02-26 08:55:00,3.9,NA,4
"50","BIOST 524",20,3,100,90,3,7,"pub_transport",10,2018-02-26 07:00:00,3.7,NA,3,"CSSS 510",10,2018-02-26 04:30:00,"No",4,100,80,3,8,"pub_transport",10,2018-02-26 08:00:00,3.6,NA,4
"51","BIOC 440",0,2,50,100,2,5,"pub_transport",10,2018-02-26 07:50:00,2.6,2.6,2,"PHSY 114",0,2018-02-26 01:30:00,"Yes",4,100,100,5,5,"Walking",10,2018-02-26 07:50:00,2.6,NA,4
"52","ECON 200",90,2,100,80,1,6,"Walking",15,2018-02-26 07:00:00,3.5,NA,3,"MATH 124",70,2018-02-26 12:30:00,"No",4,90,90,3,8,"Walking",5,2018-02-26 09:00:00,2.9,2.9,1
"53","ECON 200",0,2,60,95,2,6,"Walking",15,2018-02-26 07:30:00,3,2.8,1,"CSE 142",0,2018-02-26 01:30:00,"No",5,98,100,3,8,"Walking",15,2018-02-26 08:00:00,3.6,2.78,5
"54","IMMUN 441",10,4,100,100,3,7,"Walking",10,2018-02-26 07:40:00,3.6,2.8,3,"PHYS 114",10,2018-02-26 10:30:00,"Yes",4,100,100,5,7,"Walking",10,2018-02-26 07:40:00,4,2.8,5
"55","PHYS  115",10,4,96,90,5,6,"Walking",12,2018-02-26 07:50:00,3.6,NA,4,"BIOC 405",10,2018-02-26 10:30:00,"No",4,99,98,3,8.5,"Walking",10,2018-02-26 09:30:00,3.8,2.8,4
"56","ENGR 231",50,4,100,95,5,7,"Walking",20,2018-02-26 07:00:00,4,NA,4,"MSE 321",0,2018-02-26 09:30:00,"No",3,100,95,3,7,"Walking",25,2018-02-26 07:45:00,3.9,3.4,3
"57","CHEM 120",50,4,40,50,3,7,"Walking",15,2018-02-26 08:00:00,3.5,2.8,3,"PSYCH 305",10,2018-02-26 10:30:00,"Yes",5,95,95,4,7,"Walking",15,2018-02-26 08:00:00,4,NA,4
"58","CEE 337",70,3,80,95,4,6,"Walking",5,2018-02-26 06:00:00,3,NA,2,"CEE 377",80,2018-02-26 10:30:00,"Yes",4,99,95,3,6,"Walking",20,2018-02-26 06:00:00,3.1,NA,4
"59","ECON 490",60,3,100,90,3,6,"Walking",8,2018-02-26 07:30:00,3.7,NA,2,"ECON 464",40,2018-02-26 01:30:00,"No",5,100,100,2,7,"Walking",7,2018-02-26 08:30:00,4,NA,5
